Date,Time,Bus_No,Round,latitude,longtitude
2016-04-01,07:36:05,10,1,13.735738,100.531938
2016-04-01,07:36:06,10,1,13.735695,100.531938
2016-04-01,07:36:07,10,1,13.735653,100.531928
2016-04-01,07:36:08,10,1,13.735612,100.53191
2016-04-01,07:36:09,10,1,13.735577,100.53189
2016-04-01,07:36:10,10,1,13.735545,100.53188
2016-04-01,07:36:11,10,1,13.73551,100.531877
2016-04-01,07:36:12,10,1,13.735478,100.531877
2016-04-01,07:36:13,10,1,13.735448,100.531875
2016-04-01,07:36:14,10,1,13.735425,100.53187
2016-04-01,07:36:15,10,1,13.735405,100.531868
2016-04-01,07:36:16,10,1,13.73539,100.531853
2016-04-01,07:36:17,10,1,13.73538,100.531847
2016-04-01,07:36:18,10,1,13.735368,100.531833
2016-04-01,07:36:19,10,1,13.73536,100.53182
2016-04-01,07:36:20,10,1,13.73536,100.53182
2016-04-01,07:36:21,10,1,13.73536,100.53182
2016-04-01,07:36:22,10,1,13.73536,100.53182
2016-04-01,07:36:23,10,1,13.73536,100.53182
2016-04-01,07:36:24,10,1,13.73536,100.53182
2016-04-01,07:36:25,10,1,13.73536,100.53182
2016-04-01,07:36:26,10,1,13.73536,100.53182
2016-04-01,07:36:27,10,1,13.73536,100.53182
2016-04-01,07:36:28,10,1,13.73536,100.53182
2016-04-01,07:36:29,10,1,13.73536,100.53182
2016-04-01,07:36:30,10,1,13.73536,100.53182
2016-04-01,07:36:31,10,1,13.73536,100.53182
2016-04-01,07:36:32,10,1,13.73536,100.53182
2016-04-01,07:36:33,10,1,13.73536,100.53182
2016-04-01,07:36:34,10,1,13.73536,100.53182
2016-04-01,07:36:35,10,1,13.73536,100.53182
2016-04-01,07:36:36,10,1,13.73536,100.53182
2016-04-01,07:36:37,10,1,13.73536,100.53182
2016-04-01,07:36:38,10,1,13.73536,100.53182
2016-04-01,07:36:39,10,1,13.73536,100.53182
2016-04-01,07:36:40,10,1,13.73536,100.53182
2016-04-01,07:36:41,10,1,13.73536,100.53182
2016-04-01,07:36:42,10,1,13.73536,100.53182
2016-04-01,07:36:43,10,1,13.73536,100.53182
2016-04-01,07:36:44,10,1,13.73536,100.53182
2016-04-01,07:36:45,10,1,13.73536,100.53182
2016-04-01,07:36:46,10,1,13.73536,100.53182
2016-04-01,07:36:47,10,1,13.73536,100.53182
2016-04-01,07:36:48,10,1,13.73536,100.53182
2016-04-01,07:36:49,10,1,13.73536,100.53182
2016-04-01,07:36:50,10,1,13.73536,100.53182
2016-04-01,07:36:51,10,1,13.73536,100.53182
2016-04-01,07:36:52,10,1,13.73536,100.53182
2016-04-01,07:36:53,10,1,13.73536,100.53182
2016-04-01,07:36:54,10,1,13.73536,100.53182
2016-04-01,07:36:55,10,1,13.73536,100.53182
2016-04-01,07:36:56,10,1,13.73536,100.53182
2016-04-01,07:36:57,10,1,13.73536,100.53182
2016-04-01,07:36:58,10,1,13.73536,100.53182
2016-04-01,07:36:59,10,1,13.73536,100.53182
2016-04-01,07:37:00,10,1,13.73536,100.53182
2016-04-01,07:37:01,10,1,13.73536,100.53182
2016-04-01,07:37:02,10,1,13.73536,100.53182
2016-04-01,07:37:03,10,1,13.73536,100.53182
2016-04-01,07:37:04,10,1,13.73536,100.53182
2016-04-01,07:37:05,10,1,13.73536,100.53182
2016-04-01,07:37:06,10,1,13.73536,100.53182
2016-04-01,07:37:07,10,1,13.73536,100.53182
2016-04-01,07:37:08,10,1,13.73536,100.53182
2016-04-01,07:37:09,10,1,13.73536,100.53182
2016-04-01,07:37:10,10,1,13.73536,100.53182
2016-04-01,07:37:11,10,1,13.735348,100.53183
2016-04-01,07:37:12,10,1,13.735345,100.53183
2016-04-01,07:37:13,10,1,13.735328,100.531825
2016-04-01,07:37:14,10,1,13.73531,100.531822
2016-04-01,07:37:15,10,1,13.735292,100.531817
2016-04-01,07:37:16,10,1,13.735263,100.531813
2016-04-01,07:37:17,10,1,13.735232,100.531808
2016-04-01,07:37:18,10,1,13.735198,100.531812
2016-04-01,07:37:19,10,1,13.735158,100.531818
2016-04-01,07:37:20,10,1,13.73513,100.531818
2016-04-01,07:37:21,10,1,13.7351,100.531825
2016-04-01,07:37:22,10,1,13.735072,100.531825
2016-04-01,07:37:23,10,1,13.735045,100.531818
2016-04-01,07:37:24,10,1,13.735012,100.531817
2016-04-01,07:37:25,10,1,13.734985,100.531817
2016-04-01,07:37:26,10,1,13.734957,100.531813
2016-04-01,07:37:27,10,1,13.73493,100.531805
2016-04-01,07:37:28,10,1,13.734905,100.531802
2016-04-01,07:37:29,10,1,13.734877,100.531793
2016-04-01,07:37:30,10,1,13.73485,100.531792
2016-04-01,07:37:31,10,1,13.734832,100.53179
2016-04-01,07:37:32,10,1,13.73482,100.531785
2016-04-01,07:37:33,10,1,13.734813,100.531777
2016-04-01,07:37:34,10,1,13.734795,100.531767
2016-04-01,07:37:35,10,1,13.734787,100.53176
2016-04-01,07:37:36,10,1,13.734785,100.531757
2016-04-01,07:37:37,10,1,13.734785,100.531757
2016-04-01,07:37:38,10,1,13.734785,100.531757
2016-04-01,07:37:39,10,1,13.734785,100.531757
2016-04-01,07:37:40,10,1,13.734785,100.531757
2016-04-01,07:37:41,10,1,13.734785,100.531757
2016-04-01,07:37:42,10,1,13.734785,100.531757
2016-04-01,07:37:43,10,1,13.734785,100.531757
2016-04-01,07:37:44,10,1,13.734785,100.531757
2016-04-01,07:37:45,10,1,13.734785,100.531757
2016-04-01,07:37:46,10,1,13.734785,100.531757
2016-04-01,07:37:47,10,1,13.734785,100.531757
2016-04-01,07:37:48,10,1,13.734785,100.531757
2016-04-01,07:37:49,10,1,13.734785,100.531757
2016-04-01,07:37:50,10,1,13.734785,100.531757
2016-04-01,07:37:51,10,1,13.734785,100.531757
2016-04-01,07:37:52,10,1,13.734785,100.531757
2016-04-01,07:37:53,10,1,13.734785,100.531757
2016-04-01,07:37:54,10,1,13.734785,100.531757
2016-04-01,07:37:55,10,1,13.734785,100.531757
2016-04-01,07:37:56,10,1,13.734785,100.531757
2016-04-01,07:37:57,10,1,13.734785,100.531757
2016-04-01,07:37:58,10,1,13.734785,100.531757
2016-04-01,07:37:59,10,1,13.734785,100.531757
2016-04-01,07:38:00,10,1,13.734785,100.531757
2016-04-01,07:38:01,10,1,13.734785,100.531757
2016-04-01,07:38:02,10,1,13.734785,100.531757
2016-04-01,07:38:03,10,1,13.734785,100.531757
2016-04-01,07:38:04,10,1,13.734785,100.531757
2016-04-01,07:38:05,10,1,13.734785,100.531757
2016-04-01,07:38:06,10,1,13.734785,100.531757
2016-04-01,07:38:07,10,1,13.734785,100.531757
2016-04-01,07:38:08,10,1,13.734785,100.531757
2016-04-01,07:38:09,10,1,13.734785,100.531757
2016-04-01,07:38:10,10,1,13.734785,100.531757
2016-04-01,07:38:11,10,1,13.734785,100.531757
2016-04-01,07:38:12,10,1,13.734785,100.531757
2016-04-01,07:38:13,10,1,13.734785,100.531757
2016-04-01,07:38:14,10,1,13.734785,100.531757
2016-04-01,07:38:15,10,1,13.734785,100.531757
2016-04-01,07:38:16,10,1,13.734785,100.531757
2016-04-01,07:38:17,10,1,13.734785,100.531757
2016-04-01,07:38:18,10,1,13.734785,100.531757
2016-04-01,07:38:19,10,1,13.734785,100.531757
2016-04-01,07:38:20,10,1,13.734785,100.531757
2016-04-01,07:38:21,10,1,13.734785,100.531757
2016-04-01,07:38:22,10,1,13.734785,100.531757
2016-04-01,07:38:23,10,1,13.734785,100.531757
2016-04-01,07:38:24,10,1,13.734785,100.531757
2016-04-01,07:38:25,10,1,13.734785,100.531757
2016-04-01,07:38:26,10,1,13.734785,100.531757
2016-04-01,07:38:27,10,1,13.734785,100.531757
2016-04-01,07:38:28,10,1,13.734785,100.531757
2016-04-01,07:38:29,10,1,13.734785,100.531757
2016-04-01,07:38:30,10,1,13.734785,100.531757
2016-04-01,07:38:31,10,1,13.734785,100.531757
2016-04-01,07:38:32,10,1,13.734785,100.531757
2016-04-01,07:38:33,10,1,13.734785,100.531757
2016-04-01,07:38:34,10,1,13.734785,100.531757
2016-04-01,07:38:35,10,1,13.734785,100.531757
2016-04-01,07:38:36,10,1,13.734785,100.531757
2016-04-01,07:38:37,10,1,13.734785,100.531757
2016-04-01,07:38:38,10,1,13.734785,100.531757
2016-04-01,07:38:39,10,1,13.734785,100.531757
2016-04-01,07:38:40,10,1,13.734785,100.531757
2016-04-01,07:38:41,10,1,13.734785,100.531757
2016-04-01,07:38:42,10,1,13.734785,100.531757
2016-04-01,07:38:43,10,1,13.734785,100.531757
2016-04-01,07:38:44,10,1,13.734785,100.531757
2016-04-01,07:38:45,10,1,13.734785,100.531757
2016-04-01,07:38:46,10,1,13.734785,100.531757
2016-04-01,07:38:47,10,1,13.734785,100.531757
2016-04-01,07:38:48,10,1,13.734785,100.531757
2016-04-01,07:38:49,10,1,13.734785,100.531757
2016-04-01,07:38:50,10,1,13.734785,100.531757
2016-04-01,07:38:51,10,1,13.734785,100.531757
2016-04-01,07:38:52,10,1,13.734785,100.531757
2016-04-01,07:38:53,10,1,13.734785,100.531757
2016-04-01,07:38:54,10,1,13.734785,100.531757
2016-04-01,07:38:55,10,1,13.734785,100.531757
2016-04-01,07:38:56,10,1,13.734785,100.531757
2016-04-01,07:38:57,10,1,13.734785,100.531757
2016-04-01,07:38:58,10,1,13.734785,100.531757
2016-04-01,07:38:59,10,1,13.734785,100.531757
2016-04-01,07:39:00,10,1,13.734785,100.531757
2016-04-01,07:39:01,10,1,13.734908,100.531733
2016-04-01,07:39:02,10,1,13.734908,100.531733
2016-04-01,07:39:03,10,1,13.734908,100.531733
2016-04-01,07:39:04,10,1,13.734908,100.531733
2016-04-01,07:39:05,10,1,13.734908,100.531733
2016-04-01,07:39:06,10,1,13.734908,100.531733
2016-04-01,07:39:07,10,1,13.734908,100.531733
2016-04-01,07:39:08,10,1,13.734908,100.531733
2016-04-01,07:39:09,10,1,13.734908,100.531733
2016-04-01,07:39:10,10,1,13.734908,100.531733
2016-04-01,07:39:11,10,1,13.734908,100.531733
2016-04-01,07:39:12,10,1,13.734908,100.531733
2016-04-01,07:39:13,10,1,13.734908,100.531733
2016-04-01,07:39:14,10,1,13.734908,100.531733
2016-04-01,07:39:15,10,1,13.734908,100.531733
2016-04-01,07:39:16,10,1,13.734908,100.531733
2016-04-01,07:39:17,10,1,13.734908,100.531733
2016-04-01,07:39:18,10,1,13.734908,100.531733
2016-04-01,07:39:19,10,1,13.734908,100.531733
2016-04-01,07:39:20,10,1,13.734908,100.531733
2016-04-01,07:39:21,10,1,13.734908,100.531733
2016-04-01,07:39:22,10,1,13.734908,100.531733
2016-04-01,07:39:23,10,1,13.734908,100.531733
2016-04-01,07:39:24,10,1,13.734908,100.531733
2016-04-01,07:39:25,10,1,13.734908,100.531733
2016-04-01,07:39:26,10,1,13.734908,100.531733
2016-04-01,07:39:27,10,1,13.734908,100.531733
2016-04-01,07:39:28,10,1,13.734908,100.531733
2016-04-01,07:39:29,10,1,13.734908,100.531733
2016-04-01,07:39:30,10,1,13.734908,100.531733
2016-04-01,07:39:31,10,1,13.734908,100.531733
2016-04-01,07:39:32,10,1,13.734908,100.531733
2016-04-01,07:39:33,10,1,13.734908,100.531733
2016-04-01,07:39:34,10,1,13.734908,100.531733
2016-04-01,07:39:35,10,1,13.734908,100.531733
2016-04-01,07:39:36,10,1,13.734908,100.531733
2016-04-01,07:39:37,10,1,13.734908,100.531733
2016-04-01,07:39:38,10,1,13.734908,100.531733
2016-04-01,07:39:39,10,1,13.734908,100.531733
2016-04-01,07:39:40,10,1,13.734908,100.531733
2016-04-01,07:39:41,10,1,13.734908,100.531733
2016-04-01,07:39:42,10,1,13.734908,100.531733
2016-04-01,07:39:43,10,1,13.734908,100.531733
2016-04-01,07:39:44,10,1,13.734908,100.531733
2016-04-01,07:39:45,10,1,13.734908,100.531733
2016-04-01,07:39:46,10,1,13.734908,100.531733
2016-04-01,07:39:47,10,1,13.734908,100.531733
2016-04-01,07:39:48,10,1,13.734908,100.531733
2016-04-01,07:39:49,10,1,13.734908,100.531733
2016-04-01,07:39:50,10,1,13.734908,100.531733
2016-04-01,07:39:51,10,1,13.734908,100.531733
2016-04-01,07:39:52,10,1,13.734908,100.531733
2016-04-01,07:39:53,10,1,13.734908,100.531733
2016-04-01,07:39:54,10,1,13.734908,100.531733
2016-04-01,07:39:55,10,1,13.734908,100.531733
2016-04-01,07:39:56,10,1,13.734908,100.531733
2016-04-01,07:39:57,10,1,13.734908,100.531733
2016-04-01,07:39:58,10,1,13.734908,100.531733
2016-04-01,07:39:59,10,1,13.734908,100.531733
2016-04-01,07:40:00,10,1,13.734908,100.531733
2016-04-01,07:40:01,10,1,13.734908,100.531733
2016-04-01,07:40:02,10,1,13.734908,100.531733
2016-04-01,07:40:03,10,1,13.734908,100.531733
2016-04-01,07:40:04,10,1,13.734908,100.531733
2016-04-01,07:40:05,10,1,13.734908,100.531733
2016-04-01,07:40:06,10,1,13.734908,100.531733
2016-04-01,07:40:07,10,1,13.734908,100.531733
2016-04-01,07:40:08,10,1,13.734908,100.531733
2016-04-01,07:40:09,10,1,13.734908,100.531733
2016-04-01,07:40:10,10,1,13.734908,100.531733
2016-04-01,07:40:11,10,1,13.734908,100.531733
2016-04-01,07:40:12,10,1,13.734908,100.531733
2016-04-01,07:40:13,10,1,13.734908,100.531733
2016-04-01,07:40:14,10,1,13.734908,100.531733
2016-04-01,07:40:15,10,1,13.734908,100.531733
2016-04-01,07:40:16,10,1,13.734908,100.531733
2016-04-01,07:40:17,10,1,13.734908,100.531733
2016-04-01,07:40:18,10,1,13.734908,100.531733
2016-04-01,07:40:19,10,1,13.734908,100.531733
2016-04-01,07:40:20,10,1,13.734908,100.531733
2016-04-01,07:40:21,10,1,13.734908,100.531733
2016-04-01,07:40:22,10,1,13.734908,100.531733
2016-04-01,07:40:23,10,1,13.734908,100.531733
2016-04-01,07:40:24,10,1,13.734908,100.531733
2016-04-01,07:40:25,10,1,13.734908,100.531733
2016-04-01,07:40:26,10,1,13.734908,100.531733
2016-04-01,07:40:27,10,1,13.734908,100.531733
2016-04-01,07:40:28,10,1,13.734908,100.531733
2016-04-01,07:40:29,10,1,13.734908,100.531733
2016-04-01,07:40:30,10,1,13.734908,100.531733
2016-04-01,07:40:31,10,1,13.734908,100.531733
2016-04-01,07:40:32,10,1,13.734898,100.531733
2016-04-01,07:40:33,10,1,13.734898,100.531732
2016-04-01,07:40:34,10,1,13.734887,100.53173
2016-04-01,07:40:35,10,1,13.73487,100.531728
2016-04-01,07:40:36,10,1,13.73485,100.531727
2016-04-01,07:40:37,10,1,13.734833,100.531718
2016-04-01,07:40:38,10,1,13.734823,100.531717
2016-04-01,07:40:39,10,1,13.7348,100.531718
2016-04-01,07:40:40,10,1,13.73478,100.53172
